"Id","Name","Description","Code","Is Active","Location","EntryStation_Permission_Lot_Rel","lot_location","lot_total_space_count","lot_type_uid","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"3","5285 Brown Rd.","5285 Brown Rd.","420","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7467863559724 39.519486021078 ,-84.7463035583498 39.5194942973897 ,-84.7462821006776 39.5190763424141 ,-84.7467702627183 39.5190763424141 ,-84.7467863559724 39.519486021078))","","85f20ab3-1a03-4478-abf0-394079fad1b6","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"2","Advancement Services Center","Advancement Services Center","421","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7326242923738 39.4996200316355 ,-84.7325599193574 39.4996655643546 ,-84.7321790456773 39.4996158922959 ,-84.7319966554643 39.4996158922959 ,-84.7318732738496 39.4994917119939 ,-84.7317928075792 39.4993675314701 ,-84.7318518161775 39.4993509740501 ,-84.7318464517595 39.4993054411249 ,-84.7322541475297 39.4993426953387 ,-84.7325062751771 39.4994875726467 ,-84.7326350212099 39.4996324496528 ,-84.7326242923738 39.4996200316355))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"6","Alumni/Bishop Service Drive","Alumni/Bishop Service Drive","100","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7369077801706 39.5079333976997 ,-84.7367790341379 39.5079354671218 ,-84.7367897629739 39.5075940116364 ,-84.7374308109285 39.5075981505008 ,-84.7374093532564 39.5079437448097 ,-84.7374951839448 39.5080223827956 ,-84.7371813654901 39.5080368687307 ,-84.737165272236 39.5079892720756 ,-84.7374173998834 39.5079934109164 ,-84.7373825311662 39.5079458142315 ,-84.7373825311662 39.5076705805882 ,-84.7369506955148 39.5076560945767 ,-84.7369077801706 39.5079333976997))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"7","Armstrong Center Service Drive","Armstrong Center Service Drive","126","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7319054603578 39.5081155066112 ,-84.7319081425668 39.5080886041884 ,-84.732291698456 39.5080637711735 ,-84.7326350212099 39.5080844653532 ,-84.7326323390008 39.5079685778675 ,-84.732114672661 39.5079665084464 ,-84.7318625450136 39.5080078968575 ,-84.7316774725915 39.5081072289438 ,-84.7319054603578 39.5081155066112))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"4","Art Museum","Art Museum","301","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7303900122644 39.5013067919963 ,-84.7303926944734 39.5011888235846 ,-84.7301003336908 39.5011784754688 ,-84.7296926379205 39.5007086693869 ,-84.729604125023 39.5007024604747 ,-84.7294726967813 39.5010377409404 ,-84.7295585274698 39.5011722665985 ,-84.7298669815065 39.5012426337621 ,-84.7300735116006 39.5013005831375 ,-84.7303900122644 39.5013067919963))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"1","Bachelor Hall Lot","Bachelor Hall Lot","302","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7289282083513 39.5062240339697 ,-84.7289174795152 39.506544801555 ,-84.7289738059045 39.5065510099452 ,-84.7290757298471 39.506668969255 ,-84.7298213839532 39.5066834554722 ,-84.7298213839532 39.5063378548952 ,-84.7297650575639 39.5063337159558 ,-84.7297435998918 39.506271631834 ,-84.7296684980394 39.5062385202797 ,-84.7295638918878 39.5062302423886 ,-84.7289228439332 39.5062198950234 ,-84.7289282083513 39.5062240339697))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"8","Beechwoods Hall Service Drive","Beechwoods Hall Service Drive","345","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7289711236955 39.5067082889804 ,-84.7289174795152 39.5066917333093 ,-84.7287109494211 39.5067144973561 ,-84.728694856167 39.506755886513 ,-84.7284024953844 39.5067517475984 ,-84.7283864021303 39.5066110243559 ,-84.7289174795152 39.5066234411241 ,-84.7289738059045 39.5065923991995 ,-84.7289711236955 39.5067082889804))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"5","Benton Hall Lot","Benton Hall Lot","120","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7339949011804 39.5109070937115 ,-84.7340029478075 39.5112671568242 ,-84.7337776422502 39.5112671568242 ,-84.7337588667871 39.5110871255011 ,-84.7334557771684 39.5110747095306 ,-84.7334584593774 39.5109008857104 ,-84.7339949011804 39.5109070937115))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"9","Benton Hall Service Drive","Benton Hall Service Drive","101","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7346627712251 39.5107974189443 ,-84.7340002655984 39.5109112323785 ,-84.7339949011804 39.5109877976748 ,-84.7346654534341 39.5108988163766 ,-84.7346627712251 39.5107974189443))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"10","Bishop Circle","Bishop Circle","103","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7307467460634 39.5093012722842 ,-84.7323131561281 39.5093095498094 ,-84.7326350212099 39.5091853868279 ,-84.7328013181688 39.509015697061 ,-84.7328925132753 39.5088667008264 ,-84.7329676151277 39.5088667008264 ,-84.7329622507097 39.5085480133633 ,-84.7328603267671 39.5085231805126 ,-84.7327262163164 39.5083245173874 ,-84.7325170040132 39.508204491474 ,-84.7322058677675 39.5081382701916 ,-84.7319108247758 39.5081134371945 ,-84.7307842969896 39.5080886041884 ,-84.7307842969896 39.50818379733 ,-84.731932282448 39.508208630302 ,-84.7322058677675 39.5082251856118 ,-84.7324687242509 39.5082955456342 ,-84.7326350212099 39.5084031549424 ,-84.7327315807344 39.5085728462052 ,-84.7327798604967 39.5087549534409 ,-84.7326779365541 39.5089825868143 ,-84.7325223684312 39.5091315828003 ,-84.732291698456 39.509218496978 ,-84.7307574748994 39.5092019419049 ,-84.7307467460634 39.5093012722842))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"11","Bonham House","Bonham House","200","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7363471984865 39.5070787210909 ,-84.736261367798 39.5071014850109 ,-84.736269414425 39.5067724421689 ,-84.7363606095315 39.5067331224797 ,-84.7363471984865 39.5070787210909))","","4a178ace-6815-46f5-b1c5-043b21626999","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"12","Bonham Rd.","Bonham Rd.","414","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7343569993974 39.5151449596616 ,-84.7334343194963 39.5161298953874 ,-84.7335469722749 39.5161836939954 ,-84.7344964742662 39.5151904822088 ,-84.7343569993974 39.5151449596616))","","8206ffbd-e733-4c5f-b3cf-e58a392791a7","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"13","Boyd Hall - East Lot","Boyd Hall - East Lot","303","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7252160310747 39.5036599095326 ,-84.7253447771074 39.5036764659261 ,-84.7253233194353 39.5033867284712 ,-84.7252106666566 39.5033867284712 ,-84.7251784801485 39.5033163634784 ,-84.7250121831895 39.503312224359 ,-84.7250121831895 39.503361893776 ,-84.7250658273698 39.5033660328925 ,-84.7250604629518 39.5036847441214 ,-84.7252160310747 39.5036599095326))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"14","Boyd Hall - South Lot","Boyd Hall - South Lot","304","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7252535820009 39.5027575801241 ,-84.7242236137392 39.5027824150352 ,-84.724196791649 39.5024264471274 ,-84.7251516580583 39.5024264471274 ,-84.7252053022386 39.5025878746604 ,-84.7252535820009 39.5027575801241))","","8206ffbd-e733-4c5f-b3cf-e58a392791a7","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"15","Campus Ave. Building - Central","Campus Ave. Building - Central","201","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7388185858564 39.5062252756346 ,-84.7388293146925 39.5059819051988 ,-84.7385568022402 39.5060448173582 ,-84.7385632396073 39.5062815653035 ,-84.7388185858564 39.5062252756346))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"16","Campus Ave. Building - East","Campus Ave. Building - East","202","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7384366393091 39.5067227751894 ,-84.7382247447969 39.5066958722274 ,-84.7382113337518 39.506344063304 ,-84.738415181637 39.5063502717122 ,-84.7384366393091 39.5067227751894))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"17","Campus Ave. Building - South","Campus Ave. Building - South","203","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7391313314439 39.5054500467317 ,-84.7391152381898 39.5058018601813 ,-84.7388255596162 39.5057915127523 ,-84.7388201951982 39.5057439145592 ,-84.7387450933458 39.5057377060968 ,-84.7387504577638 39.5058039296669 ,-84.7380289435388 39.5058018601813 ,-84.7380530834199 39.5054500467317 ,-84.7391313314439 39.5054500467317))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"18","Campus Ave. Building - South Timed","Campus Ave. Building - South Timed","204","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7388094663621 39.5057997906956 ,-84.7388067841531 39.5057604704561 ,-84.7387638688089 39.5057666789165 ,-84.7387745976449 39.5058080686379 ,-84.7388094663621 39.5057997906956))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"19","Center Dr.","Center Dr.","207","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7331714630128 39.5036061012267 ,-84.7362050414087 39.503661979082 ,-84.7361996769907 39.5037261350828 ,-84.7331795096399 39.503661979082 ,-84.7331714630128 39.5036061012267))","","8206ffbd-e733-4c5f-b3cf-e58a392791a7","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
